product_title,link,price,currency,pre_reduction,discount
Kids Tensaur Comfort Ac,https://www.namshi.com//bahrain-en/buy-adidas-kids-tensaur-comfort-ac/ZCF2937CFE10F1D4921AEZ/p/,16.39,BHD,21.57,-25%
Kids Chuck Taylor All Star,https://www.namshi.com//bahrain-en/buy-converse-kids-chuck-taylor-all-star/V10288262DA3C7E5560ECV/p/,14.57,BHD,27.00,-47%
Youth Advantage Base 2.0,https://www.namshi.com//bahrain-en/buy-adidas-youth-advantage-base-2-0/Z38753A8DB68FFF8B0FDAZ/p/,17.07,BHD,22.66,-25%
Kids Barreda Decode Elsa,https://www.namshi.com//bahrain-en/buy-adidas-kids-barreda-decode-elsa/Z8BBE050DC099F4C6CFEEZ/p/,20.26,BHD,27.00,-25%
Kids Duramo Sl2 El,https://www.namshi.com//bahrain-en/buy-adidas-kids-duramo-sl2-el/ZF9053C654BE7680DBC97Z/p/,17.87,BHD,22.66,-22%
Nike Jr. Tiempo Legend 10 Academy,https://www.namshi.com//bahrain-en/buy-nike-nike-jr-tiempo-legend-10-academy/V1F341580B78611C7A0D9V/p/,10.02,BHD,35.67,-72%
Infant Duramo Sl2 El,https://www.namshi.com//bahrain-en/buy-adidas-infant-duramo-sl2-el/VE609D94C72CD52A2F600V/p/,17.64,BHD,20.49,-14%
Kids Handball Spezial,https://www.namshi.com//bahrain-en/buy-adidas-originals-kids-handball-spezial/Z60568BF10AB002F4F68CZ/p/,35.17,BHD,,
Infant Runfalcon 5 El,https://www.namshi.com//bahrain-en/buy-adidas-infant-runfalcon-5-el/V8A9AFE6F5EF9292A1E3FV/p/,17.64,BHD,19.41,-10%
Kids Tensaur Comfort Ac,https://www.namshi.com//bahrain-en/buy-adidas-kids-tensaur-comfort-ac/Z313513BE7023F6F2A392Z/p/,15.94,BHD,21.57,-27%
Infant Grand Court Mickey,https://www.namshi.com//bahrain-en/buy-adidas-infant-grand-court-mickey/V1475EEF8BA402D4FD1F5V/p/,16.74,BHD,22.66,-27%
Kids Duramo Sl2 El,https://www.namshi.com//bahrain-en/buy-adidas-kids-duramo-sl2-el/Z9B1B33B0B2651A3851DCZ/p/,17.07,BHD,22.66,-25%
Youth Grand Court 3.0,https://www.namshi.com//bahrain-en/buy-adidas-youth-grand-court-3-0/ZAF324A2F7B1999F435E8Z/p/,16.39,BHD,22.66,-28%
Kids Club Ii Era V Ps,https://www.namshi.com//bahrain-en/buy-puma-kids-club-ii-era-v-ps/Z1BD24DFC39796FFDD887Z/p/,15.25,BHD,25.91,-42%
Infant Adilette Estrap Buz,https://www.namshi.com//bahrain-en/buy-adidas-infant-adilette-estrap-buz/Z673534DCB06350D4801EZ/p/,11.16,BHD,13.98,-21%
Youth Runfalcon 5,https://www.namshi.com//bahrain-en/buy-adidas-youth-runfalcon-5/ZDC9BA18744D3C5FB24B2Z/p/,17.76,BHD,24.83,-29%
Infant Samba Crib,https://www.namshi.com//bahrain-en/buy-adidas-originals-infant-samba-crib/ZECA278C03787787BC729Z/p/,14.68,BHD,20.49,-29%
Kids Campus 00S C,https://www.namshi.com//bahrain-en/buy-adidas-originals-kids-campus-00s-c/Z757128D199C522BA66C9Z/p/,20.95,BHD,35.67,-42%
Infant Vl Court 3.0 Cf,https://www.namshi.com//bahrain-en/buy-adidas-infant-vl-court-3-0-cf/ZDFDBE344313A55D49063Z/p/,23.68,BHD,24.83,-5%
Infant Vl Court 3.0 Cf,https://www.namshi.com//bahrain-en/buy-adidas-infant-vl-court-3-0-cf/ZDE0B58B1783D2038A455Z/p/,17.07,BHD,22.66,-25%
Kids Adifom Samba 360 C,https://www.namshi.com//bahrain-en/buy-adidas-originals-kids-adifom-samba-360-c/Z1CE558CA5B18F6361473Z/p/,27.43,BHD,35.67,-24%
AIR MAX 270 BG,https://www.namshi.com//bahrain-en/buy-nike-air-max-270-bg/Z61BEB4290070F8F542BBZ/p/,28,BHD,67.75,-59%
Kids Grand Court Spider-Man,https://www.namshi.com//bahrain-en/buy-adidas-kids-grand-court-spider-man/VF354795F44438A62FD14V/p/,20.26,BHD,27.00,-25%
Kids Grand Court 00S,https://www.namshi.com//bahrain-en/buy-adidas-kids-grand-court-00s/Z053BE64482DADAC142F5Z/p/,19.46,BHD,27.00,-28%
Infant Vl Court 3.0 Cf,https://www.namshi.com//bahrain-en/buy-adidas-infant-vl-court-3-0-cf/ZDFDBE344313A55D49063Z/p/,23.68,BHD,24.83,-5%
Kids Campus 00S El C,https://www.namshi.com//bahrain-en/buy-adidas-originals-kids-campus-00s-el-c/Z0384D89245D335FE253EZ/p/,15.48,BHD,35.67,-57%
Infant Vl Court 3.0 Cf,https://www.namshi.com//bahrain-en/buy-adidas-infant-vl-court-3-0-cf/ZDE0B58B1783D2038A455Z/p/,17.07,BHD,22.66,-25%
Kids Campus 00S C,https://www.namshi.com//bahrain-en/buy-adidas-originals-kids-campus-00s-c/Z757128D199C522BA66C9Z/p/,20.95,BHD,35.67,-42%
Kids All-Day Active Ac+ Ps,https://www.namshi.com//bahrain-en/buy-puma-kids-all-day-active-ac-ps/Z23E54B6274DC39A2F199Z/p/,11.38,BHD,20.49,-45%
Youth Barreda Decode,https://www.namshi.com//bahrain-en/buy-adidas-youth-barreda-decode/Z9102CE43ABF384A17DADZ/p/,18.33,BHD,28.08,-35%
Infant Tensaur Switch Cf,https://www.namshi.com//bahrain-en/buy-adidas-infant-tensaur-switch-cf/Z05CBE8F95FF897F42E78Z/p/,14.57,BHD,18.32,-21%
Kids Water Sandal Spider,https://www.namshi.com//bahrain-en/buy-adidas-kids-water-sandal-spider/Z6D71030D0BFFA0E0E1FFZ/p/,20.03,BHD,25.91,-23%
Youth 530,https://www.namshi.com//bahrain-en/buy-new-balance-youth-530/Z4BF998F84D357D66427CZ/p/,52.25,BHD,,
Infant Gazellef El,https://www.namshi.com//bahrain-en/buy-adidas-originals-infant-gazellef-el/VD2C8E0A8DA04446AAB95V/p/,18.21,BHD,27.00,-33%
Kids Handball Spezial,https://www.namshi.com//bahrain-en/buy-adidas-originals-kids-handball-spezial/V6DDB3C0C15EC404097ADV/p/,19.35,BHD,32.41,-41%
